fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.7,0.26,0.51,2.6,45,26.0,159.0,0.99126,3.0,0.5,11.2,6
6.5,0.29,0.31,1.7,35,24.0,79.0,0.99053,3.27,0.69,11.4,7
8.8,0.39,0.35,1.8,96,22.0,80.0,0.99016,2.95,0.54,12.6,6
6.0,0.2,0.24,5.3,75,49.0,201.0,0.99466,3.21,0.43,9.5,5
7.6,0.3,0.4,2.2,54,29.0,175.0,0.99445,3.19,0.53,9.8,5
7.3,0.23,0.24,0.9,31,29.0,86.0,0.98926,2.9,0.38,12.2,6
7.0,0.24,0.25,1.7,42,48.0,189.0,992,3.25,0.42,11.4,6
6.2,0.2,0.26,1.1,47,42.0,119.0,0.99158,3.48,0.6,11.0,7
7.2,0.44,0.28,3.4,48,22.0,112.0,0.99188,3.21,0.37,11.3,7
9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,4
7.3,0.22,0.26,1.5,0.04,32.0,172.0,0.99194,3.27,0.48,11.2,6
4.8,0.21,0.21,10.2,37,17.0,112.0,0.99324,3.66,0.48,12.2,7
6.9,0.15,0.28,4.4,29,14.0,107.0,0.99347,3.24,0.46,10.4,8
7.0,0.28,0.39,8.7,51,32.0,141.0,0.9961,3.38,0.53,10.5,6
6.4,0.33,0.44,8.9,55,52.0,164.0,0.99488,3.1,0.48,9.6,5
7.8,0.3,0.29,16.85,54,23.0,135.0,0.9998,3.16,0.38,9.0,6
9.8,0.36,0.46,10.5,38,4.0,83.0,0.9956,2.89,0.3,10.1,4
5.7,695,0.06,6.8,42,9.0,84.0,0.99432,3.44,0.44,10.2,5
7.2,0.58,0.27,5.8,32,40.0,118.0,0.99088,3.17,0.53,13.0,7
8.0,0.22,0.42,14.6,44,45.0,163.0,1.0003,3.21,0.69,8.6,7
5.8,0.27,0.22,12.7,58,42.0,206.0,0.9946,3.32,0.38,12.3,6
5.9,0.62,0.28,3.5,39,55.0,152.0,0.9907,3.44,0.44,12.0,6
5.4,0.31,0.47,3.0,53,46.0,144.0,0.9931,3.29,0.76,10.0,5
6.1,0.15,0.29,6.2,46,39.0,151.0,0.99471,3.6,0.44,10.6,6
6.5,0.3,0.39,7.8,38,61.0,219.0,0.9959,3.19,0.5,9.4,5
6.6,0.22,0.23,17.3,47,37.0,118.0,0.99906,3.08,0.46,8.8,6
5.0,0.55,0.14,8.3,32,35.0,164.0,0.9918,3.53,0.51,12.5,8
7.4,0.26,0.43,6.0,22,22.0,125.0,0.9928,3.13,0.55,11.5,6
8.4,0.3,0.25,17.75,47,25.0,218.0,1.00016,2.98,0.66,9.1,5
7.2,0.23,0.38,14.3,58,55.0,194.0,0.9979,3.09,0.44,9.0,6
8.0,0.2,0.36,1.2,32,21.0,78.0,0.9921,3.08,0.37,10.4,6
6.5,0.35,0.28,12.4,51,86.0,213.0,0.9962,3.16,0.51,9.9,6
7.6,0.2,0.3,14.2,56,53.0,212.5,999,3.14,0.46,8.9,8
7.7,0.3,0.23,2.0,68,28.0,138.0,0.99382,3.11,0.62,9.8,5
6.1,0.28,0.25,12.9,54,34.0,189.0,0.9979,3.25,0.43,9.0,4
6.7,105,0.32,12.4,51,34.0,106.0,998,3.54,0.45,9.2,6
6.3,0.29,0.14,7.05,45,50.0,177.0,0.99564,3.23,0.42,9.0,5
6.2,0.2,0.25,15.0,55,8.0,120.0,0.99767,3.19,0.53,9.6,6
7.5,0.24,0.29,1.1,46,34.0,84.0,0.9902,3.04,0.39,11.45,6
6.3,0.18,0.22,1.5,43,45.0,155.0,0.99238,3.19,0.48,10.2,5
6.0,0.16,0.36,1.6,42,13.0,61.0,0.99143,3.22,0.54,10.8,6
7.0,0.2,0.34,2.1,49,12.0,136.0,0.9922,3.25,0.46,11.6,7
7.3,0.19,0.25,1.4,51,41.0,107.0,0.99382,3.53,0.66,10.5,7
6.4,0.16,0.28,2.2,42,33.0,93.0,0.9914,3.31,0.43,11.1,6
6.4,0.13,0.28,0.9,45,32.0,87.0,0.99175,3.47,0.52,11.2,6
7.8,0.27,0.34,1.6,46,27.0,154.0,0.9927,3.05,0.45,10.5,6
7.6,0.2,0.68,12.9,42,56.0,160.0,0.99841,3.05,0.41,8.7,5
7.9,0.14,0.28,1.8,41,44.0,178.0,0.9954,3.45,0.43,9.2,6
6.9,0.35,0.55,11.95,38,22.0,111.0,0.99687,3.11,0.29,9.7,5
6.6,0.23,0.32,1.5,41,8.0,72.0,0.98949,3.22,0.39,12.7,6
8.3,0.14,0.45,1.5,39,18.0,98.0,0.99215,3.02,0.56,11.0,6
8.3,0.22,0.38,14.8,54,32.0,126.0,1.0002,3.22,0.5,9.7,5
6.9,0.19,0.31,19.25,43,38.0,167.0,0.99954,2.93,0.52,9.1,7
6.6,0.32,0.34,7.7,44,63.0,212.0,0.99526,3.22,0.48,9.7,6
7.8,0.25,0.37,1.0,43,10.0,80.0,0.99128,3.08,0.38,11.4,5
7.8,0.32,0.33,10.4,31,47.0,194.0,0.99692,3.07,0.58,9.6,6
7.9,0.31,0.22,13.3,48,46.0,212.0,0.99942,3.47,0.59,10.0,5
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,7
6.7,0.19,0.39,1.0,32,14.0,71.0,0.98912,3.31,0.38,13.0,7
7.8,0.21,0.39,1.8,34,62.0,180.0,991,3.09,0.75,12.6,8
5.9,0.44,0.33,1.2,49,12.0,117.0,0.99134,3.46,0.44,11.5,5
7.2,0.37,0.15,2.0,29,27.0,87.0,0.9903,3.3,0.59,12.6,7
6.3,0.3,0.34,1.6,49,14.0,132.0,994,3.3,0.49,9.5,6
6.1,0.27,0.33,2.2,21,26.0,117.0,0.9886,3.12,0.3,12.5,6
8.1,0.31,0.36,8.2,28,29.0,142.0,0.9925,3.01,0.34,13.0,7
7.8,0.17,0.5,1.3,45,35.0,140.0,0.9904,3.16,0.4,12.0,6
8.6,265,0.36,1.2,34,15.0,80.0,0.9913,2.95,0.36,11.4,7
5.8,0.26,0.3,2.6,34,75.0,129.0,0.9902,3.2,0.38,11.5,4
6.6,0.38,0.28,2.8,43,17.0,67.0,0.98924,3.21,0.47,13.2,6
5.9,0.5,0.05,2.6,54,36.0,146.0,0.9948,3.43,0.5,9.2,6
5.9,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64,10.8,6
6.1,0.28,0.25,6.9,56,44.0,201.0,0.9955,3.19,0.4,9.1,6
8.1,0.2,0.36,9.7,44,63.0,162.0,997,3.1,0.46,10.0,6
6.2,0.34,0.29,7.6,47,45.0,232.0,0.9955,3.35,0.62,10.0,6
7.1,0.33,0.64,13.2,56,12.0,105.0,0.9972,3.05,0.39,9.2,5
7.0,0.32,0.31,6.4,31,38.0,115.0,0.99235,3.38,0.58,12.2,7
6.8,0.19,0.32,7.05,19,54.0,188.0,0.9935,3.25,0.37,11.1,8
6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
7.0,0.14,0.4,1.7,35,16.0,85.0,0.9911,3.19,0.42,11.8,6
7.8,0.26,0.74,7.5,44,59.0,160.0,996,3.22,0.64,10.0,6
6.7,0.3,0.5,12.1,45,38.0,127.0,0.9974,3.04,0.53,8.9,6
9.4,0.29,0.55,2.2,0.05,17.0,119.0,0.9962,3.12,0.69,10.3,4
7.8,0.43,0.49,13.0,33,37.0,158.0,0.9955,3.14,0.35,11.3,6
7.5,0.26,0.59,11.8,46,58.0,164.0,0.99814,3.17,0.46,8.9,4
7.3,0.22,0.49,9.4,34,29.0,134.0,0.9939,2.99,0.32,11.0,7
6.7,0.23,0.42,11.2,47,52.0,171.0,0.99758,3.54,0.74,10.4,5
6.5,0.41,0.24,14.0,48,24.0,113.0,0.9982,3.44,0.53,9.8,6
7.4,0.44,0.2,11.5,49,44.0,157.0,998,3.27,0.44,9.0,5
6.4,0.26,0.42,9.7,44,30.0,140.0,0.9962,3.18,0.47,9.1,6
6.4,0.42,0.19,9.3,43,28.0,145.0,0.99433,3.23,0.53,10.98,5
8.1,0.25,0.38,3.8,51,18.0,129.0,0.9928,3.21,0.38,11.5,6
6.5,0.18,0.41,14.2,39,47.0,129.0,0.99678,3.28,0.72,10.3,7
7.5,0.42,0.2,1.4,0.06,15.0,168.0,0.9944,3.06,0.4,9.4,6
5.7,265,0.28,6.9,36,46.0,150.0,0.99299,3.36,0.44,10.8,7
7.7,0.39,0.49,7.7,36,11.0,110.0,0.9966,3.33,0.76,10.0,6
6.8,0.32,0.3,3.3,29,15.0,80.0,0.99061,3.33,0.63,12.6,7
7.3,0.22,0.26,1.5,0.04,32.0,172.0,0.99194,3.27,0.48,11.2,6
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
7.2,0.31,0.24,1.4,57,17.0,117.0,0.9928,3.16,0.35,10.5,5
5.8,0.32,0.38,4.75,33,23.0,94.0,991,3.42,0.42,11.8,7
6.6,0.16,0.25,9.8,49,59.5,137.0,995,3.16,0.38,10.0,6
7.3,0.28,0.54,12.9,49,62.0,162.5,0.9984,3.06,0.45,9.1,6
6.8,0.21,0.27,18.15,42,41.0,146.0,1.0001,3.3,0.36,8.7,5
7.7,0.27,0.61,12.0,46,64.0,179.0,0.9982,3.07,0.46,8.9,5
7.8,0.29,0.29,3.15,44,41.0,117.0,0.99153,3.24,0.35,11.5,5
5.4,0.27,0.22,4.6,22,29.0,107.0,0.98889,3.33,0.54,13.8,6
7.2,0.43,0.24,6.7,58,40.0,163.0,995,3.2,0.41,9.9,5
5.5,0.29,0.3,1.1,22,20.0,110.0,0.98869,3.34,0.38,12.8,7
5.8,0.28,0.66,9.1,39,26.0,159.0,0.9965,3.66,0.55,10.8,5
6.8,0.27,0.28,7.8,38,26.0,89.0,0.9915,3.24,0.34,12.5,6
7.3,0.18,0.29,1.2,44,12.0,143.0,0.9918,3.2,0.48,11.3,7
5.6,0.23,0.29,3.1,23,19.0,89.0,0.99068,3.25,0.51,11.2,6
7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,3.19,0.51,11.4,6
7.3,0.33,0.4,6.85,38,32.0,138.0,992,3.03,0.3,11.9,7
7.5,0.23,0.32,9.2,38,54.0,191.0,0.9966,3.04,0.56,9.7,6
6.1,0.25,0.24,12.1,46,51.0,172.0,998,3.35,0.45,9.5,5
5.2,0.31,0.2,2.4,27,27.0,117.0,0.98886,3.56,0.45,13.0,7
6.6,0.24,0.29,2.0,23,19.0,86.0,0.99,3.25,0.45,12.5,6
6.8,0.32,0.28,4.8,34,25.0,100.0,0.99026,3.08,0.47,12.4,7
6.0,0.22,0.28,1.1,34,47.0,90.0,0.98862,3.22,0.38,12.6,6
7.0,0.11,0.32,4.6,57,59.0,144.0,0.9956,3.55,0.44,9.4,7
7.9,0.19,0.26,2.1,39,8.0,143.0,0.9942,3.05,0.74,9.8,5
6.8,0.14,0.35,1.5,47,40.0,117.0,0.99111,3.07,0.72,11.1,6
7.3,0.2,0.39,2.3,48,24.0,87.0,0.99044,2.94,0.35,12.0,6
6.4,0.35,0.2,5.7,34,18.0,117.0,0.9944,3.33,0.43,10.1,5
7.6,0.37,0.34,3.2,28,42.0,162.0,0.9903,3.01,0.33,12.4,6
6.3,0.29,0.29,3.3,37,32.0,140.0,0.9895,3.17,0.36,12.8,7
6.8,0.19,0.36,1.9,35,30.0,96.0,0.9917,3.15,0.54,10.8,7
8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,6
6.4,0.17,0.34,1.5,91,42.0,135.0,0.9938,3.25,0.49,9.6,7
6.5,0.22,0.27,1.6,39,36.0,116.0,0.99178,3.38,0.57,11.0,7
7.0,0.14,0.41,0.9,37,22.0,95.0,0.9914,3.25,0.43,10.9,6
6.9,0.17,0.22,4.6,64,55.0,152.0,0.9952,3.29,0.37,9.3,6
6.7,0.11,0.34,8.8,43,41.0,113.0,0.9962,3.42,0.4,9.3,7
6.0,0.38,0.26,6.0,34,42.0,134.0,0.9912,3.38,0.38,12.3,7
7.9,0.19,0.45,1.5,45,17.0,96.0,0.9917,3.13,0.39,11.0,6
7.0,0.21,0.31,6.0,46,29.0,108.0,0.9939,3.26,0.5,10.8,6
7.8,0.27,0.35,1.2,0.05,36.0,140.0,0.99138,3.09,0.45,11.2,5
5.6,0.19,0.26,1.4,0.03,12.0,76.0,0.9905,3.25,0.37,10.9,7
6.4,0.29,0.28,11.1,63,66.0,169.0,0.9973,2.89,0.57,9.0,5
6.4,0.69,0.09,7.6,44,34.0,144.0,0.9948,3.26,0.38,10.1,6
6.9,0.18,0.38,8.1,49,44.0,176.0,0.9958,3.3,0.54,9.8,6
9.6,655,0.21,2.0,39,21.0,120.0,0.99188,3.0,1.0,12.6,6
7.6,0.39,0.46,11.7,84,55.0,170.0,0.99773,2.91,0.51,9.0,5
7.5,0.23,0.35,17.8,58,128.0,212.0,1.00241,3.44,0.43,8.9,5
5.7,0.23,0.25,7.95,42,16.0,108.0,0.99486,3.44,0.61,10.3,6
6.8,0.22,0.35,17.5,39,38.0,153.0,0.9994,3.24,0.42,9.0,6
6.7,0.62,0.24,1.1,39,6.0,62.0,0.9934,3.41,0.32,10.4,5
7.2,0.21,0.33,3.0,36,35.0,132.0,0.9928,3.25,0.4,11.0,6
8.3,0.4,0.38,1.1,38,15.0,75.0,0.9934,3.03,0.43,9.2,5
6.0,0.29,0.25,1.4,33,30.0,114.0,0.98794,3.08,0.43,13.2,6
5.8,0.33,0.23,5.0,53,29.0,106.0,0.99458,3.13,0.52,9.0,5
7.5,0.29,0.24,9.9,58,25.0,115.0,0.99567,3.15,0.46,10.9,5
7.4,0.24,0.31,8.4,45,52.0,183.0,0.9963,3.09,0.32,8.8,5
6.0,0.39,0.17,12.0,46,65.0,246.0,0.9976,3.15,0.38,9.0,6
7.3,0.19,0.27,13.9,57,45.0,155.0,0.99807,2.94,0.41,8.8,8
6.8,0.18,0.3,12.8,62,19.0,171.0,0.99808,3.0,0.52,9.0,7
8.7,0.31,0.21,5.6,39,28.0,67.0,0.99328,2.96,0.52,11.0,4
5.9,0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,7
6.9,0.2,0.34,1.9,43,25.0,136.0,0.9935,3.31,0.6,10.1,4
6.2,0.3,0.31,1.2,48,19.0,125.0,0.98999,3.32,0.54,12.6,6
9.5,0.21,0.47,1.3,39,21.0,123.0,0.9959,2.9,0.64,9.5,5
6.4,0.15,0.36,1.8,34,43.0,150.0,0.9922,3.42,0.69,11.0,8
6.9,0.28,0.27,2.1,36,42.0,121.0,0.9926,3.42,0.49,10.8,7
6.4,0.21,0.28,5.9,47,29.0,101.0,0.99278,3.15,0.4,11.0,6
6.9,0.21,0.62,6.3,42,7.0,109.0,0.99358,2.96,0.59,10.2,6
7.5,0.31,0.51,14.8,39,62.0,204.0,0.9982,3.06,0.6,9.5,5
6.4,0.32,0.5,10.7,47,57.0,206.0,0.9968,3.08,0.6,9.4,5
6.3,0.41,0.18,3.5,27,23.0,109.0,0.99018,3.34,0.54,12.8,8
6.9,0.24,0.33,4.8,0.04,16.0,131.0,0.9936,3.26,0.64,10.7,6
6.5,0.28,0.33,15.7,53,51.0,190.0,0.9978,3.22,0.51,9.7,6
5.6,245,0.25,9.7,32,12.0,68.0,994,3.31,0.34,10.5,5
7.1,0.25,0.31,2.3,0.05,32.0,156.0,0.9914,3.14,0.51,11.4,6
5.7,0.22,0.22,16.65,44,39.0,110.0,0.99855,3.24,0.48,9.0,6
7.0,0.25,0.33,2.1,21,17.0,76.0,0.99021,3.26,0.45,12.3,6
9.0,0.17,0.49,1.0,39,46.0,131.0,993,3.09,0.51,10.5,7
6.3,0.35,0.3,5.7,35,8.0,97.0,0.9927,3.27,0.41,11.0,7
6.5,0.33,0.28,6.1,18,41.0,103.0,0.99122,3.24,0.32,12.2,6
5.8,0.27,0.27,12.3,45,55.0,170.0,0.9972,3.28,0.42,9.3,6
6.0,0.52,0.33,7.7,46,24.0,119.0,0.99224,3.04,0.38,11.0,6
6.5,0.16,0.33,4.8,43,45.0,114.0,992,3.18,0.44,11.2,6
5.8,0.4,0.42,4.4,47,38.5,245.0,0.9937,3.25,0.57,9.6,6
6.6,0.39,0.39,11.9,57,51.0,221.0,0.99851,3.26,0.51,8.9,6
7.3,0.28,0.54,12.9,49,62.0,152.0,0.9984,3.06,0.45,9.1,6
6.8,0.27,0.12,1.3,0.04,87.0,168.0,992,3.18,0.41,10.0,5
6.7,0.47,0.34,8.9,43,31.0,172.0,0.9964,3.22,0.6,9.2,5
8.2,0.23,0.49,0.9,57,15.0,73.0,0.9928,3.07,0.38,10.4,6
7.2,0.34,0.3,8.4,51,40.0,167.0,0.99756,3.48,0.62,9.7,5
5.7,0.22,0.22,16.65,44,39.0,110.0,0.99855,3.24,0.48,9.0,6
6.9,0.19,0.32,7.9,42,30.0,130.0,0.99456,3.4,0.39,10.5,6
6.2,0.28,0.28,4.3,26,22.0,105.0,989,2.98,0.64,13.1,8
6.0,0.28,0.27,2.3,51,23.0,147.0,994,3.23,0.67,10.3,6
7.4,0.3,0.3,5.2,53,45.0,163.0,0.9941,3.12,0.45,10.3,6
5.2,0.17,0.27,0.7,0.03,11.0,68.0,0.99218,3.3,0.41,9.8,5
6.3,0.18,0.36,1.2,34,26.0,111.0,0.99074,3.16,0.51,11.0,6
7.6,0.18,0.36,2.4,49,38.0,123.0,996,3.6,0.46,10.3,5
6.8,0.16,0.4,2.3,37,18.0,102.0,0.9923,3.49,0.42,11.4,7
8.4,0.31,0.31,0.95,21,52.0,148.0,0.99038,2.93,0.32,11.5,5
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5
6.3,0.21,0.33,13.9,46,68.0,179.0,0.9971,3.36,0.5,10.4,6
6.5,0.3,0.29,2.25,37,8.0,210.0,0.9937,3.19,0.62,9.9,5
6.4,0.22,0.49,7.5,54,42.0,151.0,0.9948,3.27,0.52,10.1,6
8.9,0.34,0.34,1.6,56,13.0,176.0,0.9946,3.14,0.47,9.7,5
4.4,0.54,0.09,5.1,38,52.0,97.0,0.99022,3.41,0.4,12.2,7
5.2,0.3,0.34,1.5,38,18.0,96.0,0.98942,3.56,0.48,13.0,8
6.4,475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5
7.4,0.16,0.3,13.7,56,33.0,168.0,0.99825,2.9,0.44,8.7,7
7.2,0.23,0.25,18.8,85,19.0,111.0,1.00044,3.1,0.51,8.7,5
7.6,0.2,0.26,4.8,33,26.0,76.0,0.99076,2.98,0.49,12.3,7
4.7,785,0.0,3.4,36,23.0,134.0,0.98981,3.53,0.92,13.8,6
6.6,0.21,0.38,2.2,26,40.0,104.0,0.9914,3.25,0.4,11.1,8
5.9,0.23,0.24,1.6,37,32.0,115.0,0.99076,3.21,0.51,11.4,6
7.5,0.23,0.36,7.0,36,43.0,161.0,0.9938,3.04,0.32,11.0,5
6.6,0.44,0.32,3.0,95,13.0,75.0,0.98954,3.1,0.63,12.8,6
6.9,0.28,0.3,1.6,47,46.0,132.0,0.9918,3.35,0.38,11.1,7
